angle_deg,input_power_uW,reflection_uW,dark_uW,polarization
-4,72700,2.7,0.024,p
-5,72700,1.72,0.024,p
-8,72700,2.49,0.024,p
-10,72700,2.6,0.024,p
-13,72700,2.62,0.024,p
-15,72700,2.81,0.024,p
-18,72700,3.72,0.024,p
-20,72700,6.12,0.024,p
-23,72700,12.98,0.024,p
-25,72700,22.1,0.024,p
-28,72700,28.1,0.024,p
-30,72700,50.4,0.024,p
3,72700,1.6,0.024,p
4,72700,2.4,0.024,p
5,72700,1.64,0.024,p
8,72700,2.4,0.024,p
10,72700,2.12,0.024,p
13,72700,3.83,0.024,p
15,72700,5.47,0.024,p
18,72700,11,0.024,p
20,72700,17.4,0.024,p
23,72700,34.6,0.024,p
25,72700,54.1,0.024,p
28,72700,99.8,0.024,p
30,72700,144,0.024,p
-4,72700,2.38,0.024,s
-5,72700,1.377,0.024,s
-8,72700,2.46,0.024,s
-10,72700,2.69,0.024,s
-13,72700,3.86,0.024,s
-15,72700,6.05,0.024,s
-18,72700,10.98,0.024,s
-20,72700,15.5,0.024,s
-23,72700,24.8,0.024,s
-25,72700,30.6,0.024,s
-28,72700,50.5,0.024,s
-30,72700,62.3,0.024,s
3,72700,1.72,0.024,s
4,72700,1.46,0.024,s
5,72700,2.58,0.024,s
8,72700,2.67,0.024,s
10,72700,5.22,0.024,s
13,72700,8.72,0.024,s
15,72700,13.24,0.024,s
18,72700,23.1,0.024,s
20,72700,32.4,0.024,s
23,72700,50.2,0.024,s
25,72700,64.2,0.024,s
28,72700,93.9,0.024,s
30,72700,118.3,0.024,s
